date,before,after,bag,brushed
"5/18/2020, 7:19:29 AM",21.97,22.00,7,false
"5/18/2020, 8:59:47 AM",22.05,22.00,7,false
"5/18/2020, 1:55:54 PM",21.98,21.95,7,false
"5/19/2020, 6:46:30 AM",32.21,32.12,7,false
"5/19/2020, 10:41:57 AM",21.98,21.93,8,false
"5/20/2020, 6:38:16 AM",44.02,44.02,8,false
"5/20/2020, 6:47:20 AM",21.99,21.97,8,false
"5/20/2020, 9:23:03 AM",22.07,22.05,8,false
"5/21/2020, 7:01:42 AM",22.05,22.09,8,false
"5/21/2020, 10:03:38 AM",21.97,21.95,8,false
"5/22/2020, 6:48:19 AM",44.08,44.04,8,false
"5/23/2020, 7:10:22 AM",44.00,43.99,8,false
"5/24/2020, 6:54:44 AM",22.00,22.01,8,false
"5/24/2020, 9:32:39 AM",22.01,22.03,8,false
"5/25/2020, 5:59:18 AM",21.97,21.97,8,false
"5/26/2020, 6:54:36 AM",35.09,35.08,8,false
